UF;NACIONALIDADE;CLASSIFICACAO;QTD
SP;GUIANA FRANCESA;Residente;63
SP;GÂMBIA;Residente;70
SP;ALBÂNIA;Residente;23
SP;TONGA;Temporário;6
SP;CHIPRE;Residente;15
SP;EGITO;Temporário;21
SP;CANADÁ;Temporário;94
SP;IÊMEN;Residente;211
SP;REP. DOMINICANA;Temporário;357
SP;ESPANHA;Temporário;279
SP;MOÇAMBIQUE;Temporário;386
SP;CONGO;Provisório;874
SP;BULGÁRIA;Residente;130
SP;LETÔNIA;Residente;139
SP;NEPAL;Residente;57
SP;BÓSNIA-HERZEGOVINA;Residente;21
SP;MALI;Residente;227
SP;TANZÂNIA;Provisório;31
SP;ISLÂNDIA;Residente;18
SP;LIBÉRIA;Residente;27
SP;LÍBANO;Provisório;225
SP;QUÊNIA;Residente;59
SP;BENIN;Provisório;104
SP;EMIRADOS ÁRABES;Residente;15
SP;PAQUISTÃO;Temporário;95
SP;DOMINICA;Residente;40
SP;EQUADOR;Provisório;15
SP;TUNÍSIA;Provisório;451
SP;LITUÂNIA;Residente;911
SP;PAÍSES BAIXOS;Provisório;4
SP;AFEGANISTÃO;Provisório;98
SP;RÚSSIA;Temporário;130
SP;IUGUSLAVIA;Residente;6
SP;CAMARÕES;Temporário;22
SP;NICARÁGUA;Temporário;47
SP;ISRAEL;Temporário;42
SP;AUSTRIA;Temporário;60
SP;CINGAPURA;Temporário;13
SP;NOVA ZELÂNDIA;Residente;146
SP;PAQUISTÃO;Provisório;56
SP;SURINAME;Residente;20
SP;SERRA LEOA;Provisório;13
SP;CROÁCIA;Residente;90
SP;NICARÁGUA;Provisório;7
SP;RUANDA;Residente;3
SP;BUTÃO;Residente;10
SP;GUIANA;Temporário;9
SP;TURQUIA;Provisório;54
SP;DINAMARCA;Temporário;37
SP;ESLOVÊNIA;Temporário;5
SP;TAILÂNDIA;Residente;111
SP;HAITI;Provisório;43
SP;SOMÁLIA;Provisório;16
SP;SRI LANKA;Residente;12
SP;ARMÊNIA;Residente;64
SP;PERU;Provisório;40
SP;UCRÂNIA;Temporário;133
SP;ETIÓPIA;Residente;37
SP;MÉXICO;Provisório;19
SP;MALTA;Residente;22
SP;TCHECOSLOVAQUIA;Residente;105
SP;URUGUAI;Temporário;48
SP;CONGO;Temporário;25
SP;CORÉIA DO SUL;Provisório;74
SP;SAO TOMÉ E PRÍNCIPE;Residente;26
SP;UZBEQUISTÃO;Temporário;3
SP;CAZAQUISTÃO;Residente;32
SP;GUIANA;Residente;35
SP;ESLOVÁQUIA;Residente;54
SP;NEPAL;Provisório;16
SP;CINGAPURA;Residente;75
SP;FILIPINAS;Temporário;320
SP;TAILÂNDIA;Provisório;35
SP;ETIÓPIA;Temporário;26
SP;HONG-KONG (R.A.E.);Temporário;9
SP;ITÁLIA;Provisório;6
SP;ISRAEL;Provisório;12
SP;UGANDA;Provisório;8
SP;UGANDA;Temporário;13
SP;SUÉCIA;Temporário;133
SP;ESLOVÊNIA;Residente;33
SP;PORTUGAL;Provisório;8
SP;MACEDÔNIA;Residente;16
SP;GEÓRGIA;Residente;20
SP;NOVA ZELÂNDIA;Temporário;19
SP;INDONÉSIA;Provisório;8
SP;MOÇAMBIQUE;Provisório;32
SP;VIETNAM DO NORTE;Residente;9
SP;QUÊNIA;Temporário;96
SP;MOLDOVA;Residente;13
SP;IRLANDA;Temporário;21
SP;COSTA DO MARFIM;Temporário;11
SP;CAZAQUISTÃO;Provisório;5
SP;PANAMÁ;Provisório;9
SP;MALAVI;Residente;4
SP;CHILE;Provisório;7
SP;COSTA DO MARFIM;Provisório;23
SP;BURUNDI;Residente;28
SP;JAMAICA;Residente;18
SP;UGANDA;Residente;23
SP;REP. CENTRO AFRICANA;Provisório;4
SP;CAMARÕES;Provisório;73
SP;ESLOVÁQUIA;Temporário;5
SP;PARAGUAI;Provisório;12
SP;SAO TOMÉ E PRÍNCIPE;Provisório;4
SP;PALESTINA;Provisório;39
SP;GANA;Temporário;43
SP;SÉRVIA;Temporário;8
SP;SÉRVIA;Provisório;2
SP;SENEGAL;Temporário;27
SP;CROÁCIA;Temporário;50
SP;UZBEQUISTÃO;Residente;10
SP;HONG-KONG (R.A.E.);Residente;50
SP;UNIÃO SOVIÉTICA;Residente;50
SP;CATAR;Residente;2
SP;REP. CENTRO AFRICANA;Residente;4
SP;HUNGRIA;Provisório;2
SP;SAN MARINO;Residente;1
SP;GABÃO;Residente;4
SP;SOMÁLIA;Residente;16
SP;FINLÂNDIA;Temporário;31
SP;SUDÃO;Temporário;8
SP;ARÁBIA SAUDITA;Residente;37
SP;PAÍSES BAIXOS;Temporário;81
SP;SEYCHELLES;Residente;2
SP;SRI LANKA;Temporário;21
SP;LETÔNIA;Provisório;4
SP;GABÃO;Temporário;13
SP;SÍRIA;Temporário;41
SP;COSTA RICA;Provisório;2
SP;NORUEGA;Temporário;26
SP;MALTA;Temporário;3
SP;ARGENTINA;Provisório;25
SP;BELARUS;Provisório;5
SP;TRINIDAD E TOBAGO;Provisório;4
SP;KUAITE;Residente;8
SP;ARMÊNIA;Provisório;8
SP;FIJI, ILHAS;Temporário;1
SP;GABÃO;Provisório;3
SP;MAURÍCIO;Residente;24
SP;TONGA;Residente;1
SP;CORÉIA DO NORTE;Residente;6
SP;NACIONALIDADE INDEFINIDA;Residente;5
SP;INDONÉSIA;Temporário;49
SP;MACAU (R.A.E.);Residente;4
SP;GUATEMALA;Provisório;3
SP;EL SALVADOR;Temporário;64
SP;ZIMBÁBUE;Temporário;49
SP;ZÂMBIA;Residente;15
SP;CAMBOJA;Residente;6
SP;MYANMAR;Residente;11
SP;GUINÉ BISSAU;Provisório;16
SP;CHADE;Temporário;2
SP;QUÊNIA;Provisório;4
SP;ANTILHAS HOLÂNDESAS;Residente;4
SP;SÍRIA;Provisório;60
SP;CROÁCIA;Provisório;1
SP;IÊMEN;Provisório;13
SP;IRAQUE;Temporário;1
SP;POLÔNIA;Temporário;62
SP;BENIN;Temporário;46
SP;JAMAICA;Temporário;9
SP;MALÁSIA;Provisório;7
SP;MALI;Temporário;1
SP;SANTA LÚCIA;Residente;3
SP;MADAGASCAR;Provisório;1
SP;BHUTAN;Residente;1
SP;LESOTO;Provisório;1
SP;BULGÁRIA;Provisório;3
SP;SAARA OCIDENTAL;Temporário;1
SP;ILHAS CANARIAS;Residente;7
SP;CHIPRE;Temporário;4
SP;VIETINA;Temporário;8
SP;CHADE;Residente;8
SP;QUIRGUISTÃO;Residente;6
SP;SAMOA OCIDENTAL;Residente;3
SP;UCRÂNIA;Provisório;12
SP;GUADALUPE;Temporário;1
SP;TAILÂNDIA;Temporário;15
SP;DOMINICA;Provisório;3
SP;GUIANA FRANCESA;Temporário;5
SP;VIETINA;Provisório;12
SP;DJIBUTI;Residente;2
SP;BOTSUANA;Residente;1
SP;BURUNDI;Temporário;9
SP;TANZÂNIA;Temporário;7
SP;NACIONALIDADE INDEFINIDA;Provisório;5
SP;LITUÂNIA;Temporário;6
SP;IÊMEN;Temporário;2
SP;ANTÍGUA;Residente;8
SP;ALEMANHA;Provisório;12
SP;BURUNDI;Provisório;2
SP;POLÔNIA;Provisório;3
SP;GUAM;Residente;3
SP;SURINAME;Temporário;10
SP;SRI LANKA;Provisório;2
SP;BARBADOS;Residente;3
SP;IRÃ;Residente;2
SP;PORTO RICO;Residente;2
SP;MALI;Provisório;46
SP;GUIANA;Provisório;4
SP;NEPAL;Temporário;16
SP;SÃO VICENTE E GRANADINAS;Residente;4
SP;HUNGRIA;Temporário;9
SP;TURCOMENISTÃO;Residente;3
SP;ESPANHA;Provisório;9
SP;LESOTO;Residente;2
SP;ASHMORE E CARTIER;Residente;1
SP;BERMUDAS;Residente;3
SP;TURQUIA;Temporário;34
SP;CABO VERDE;Provisório;5
SP;ANTÍGUA;Provisório;1
SP;EL SALVADOR;Provisório;1
SP;ROMÊNIA;Provisório;3
SP;GUINÉ EQUATORIAL;Provisório;4
SP;GUINÉ;Temporário;6
SP;FRANÇA;Provisório;5
SP;ROMÊNIA;Temporário;41
SP;SUDÃO;Provisório;3
SP;LAOS;Residente;1
SP;BURKINA FASO;Temporário;5
SP;CHADE;Provisório;6
SP;GRANADA;Residente;4
SP;GRÉCIA;Temporário;71
SP;SÃO CRISTOVÃO E NEVIS;Residente;12
SP;KOSOVO;Residente;2
SP;JAPÃO;Provisório;4
SP;CANADÁ;Provisório;3
SP;HONDURAS;Provisório;7
SP;BOTSUANA;Provisório;3
SP;AZERBAIJÃO;Residente;5
SP;ARÁBIA SAUDITA;Temporário;3
SP;eritréia;Residente;1
SP;NAMÍBIA;Temporário;2
SP;MONGÓLIA;Residente;16
SP;NÍGER;Provisório;2
SP;AZERBAIJÃO;Temporário;4
SP;MALAVI;Provisório;1
SP;LETÔNIA;Temporário;15
SP;PALESTINA;Temporário;4
SP;LÍBIA;Temporário;2
SP;BURKINA FASO;Provisório;5
SP;ZÂMBIA;Temporário;2
SP;GUINÉ EQUATORIAL;Residente;5
SP;VATICANO;Provisório;1
SP;ETIÓPIA;Provisório;5
SP;TAIWAN, PROVINCIA DA CHINA;Temporário;25
SP;MASCATE;Residente;2
SP;FIJI, ILHAS;Residente;2
SP;IRAQUE;Provisório;8
SP;ESTÔNIA;Temporário;7
SP;RUANDA;Provisório;8
SP;ARGÉLIA;Temporário;9
SP;CHIPRE;Provisório;1
SP;MADAGASCAR;Residente;6
SP;ALBÂNIA;Provisório;1
SP;COMORES;Residente;1
SP;ZIMBÁBUE;Provisório;2
SP;CAZAQUISTÃO;Temporário;8
SP;DOMINICA;Temporário;5
SP;MÔNACO;Residente;1
SP;BAHAMA,IS;Provisório;1
SP;BULGÁRIA;Temporário;8
SP;BAREINE;Residente;1
SP;INFNI;Residente;2
SP;GEÓRGIA;Temporário;6
SP;LIECHTENSTEIN;Residente;5
SP;TUNÍSIA;Temporário;9
SP;JORDÂNIA;Provisório;4
SP;TURCOMENISTÃO;Provisório;1
SP;GRANADA;Temporário;2
SP;BELIZE;Temporário;2
SP;GUIANA FRANCESA;Provisório;6
SP;GIBRALTAR;Residente;2
SP;MOLDOVA;Provisório;1
SP;ERITRÉIA;Residente;3
SP;LIBÉRIA;Provisório;1
SP;ZÂMBIA;Provisório;1
SP;MADAGASCAR;Temporário;193
SP;SAMOA OCIDENTAL;Temporário;15
SP;KABARDINO BALKAR;Residente;1
SP;VANUATU;Residente;3
SP;GAZA;Residente;1
SP;SUÉCIA;Provisório;1
SP;REINO UNIDO;Provisório;1
SP;ILHAS BALEARES;Residente;1
DF;COLÔMBIA;Residente;1617
DF;PARAGUAI;Temporário;114
DF;CAMARÕES;Residente;75
DF;LÍBANO;Provisório;16
DF;BOLÍVIA;Temporário;96
DF;VENEZUELA;Temporário;2660
DF;COSTA RICA;Residente;24
DF;VENEZUELA;Residente;6193
DF;COLÔMBIA;Temporário;932
DF;MÉXICO;Residente;159
DF;PORTUGAL;Residente;1087
DF;BOLÍVIA;Residente;340
DF;ESTADOS UNIDOS;Residente;1070
DF;HAITI;Residente;783
DF;IRÃ;Residente;64
DF;ARGENTINA;Residente;860
DF;ITÁLIA;Residente;478
DF;IRAQUE;Provisório;1
DF;CUBA;Provisório;1507
DF;PERU;Residente;753
DF;BANGLADESH;Provisório;53
DF;CUBA;Residente;678
DF;TOGO;Residente;27
DF;ESTADOS UNIDOS;Temporário;140
DF;SENEGAL;Residente;94
DF;CHILE;Residente;418
DF;JORDÂNIA;Residente;110
DF;HONDURAS;Residente;29
DF;CHINA;Residente;598
DF;FRANÇA;Residente;488
DF;NIGÉRIA;Residente;175
DF;PAQUISTÃO;Residente;356
DF;SÍRIA;Residente;190
DF;PERU;Provisório;12
DF;ARGENTINA;Temporário;21
DF;MARROCOS;Residente;66
DF;LÍBANO;Residente;250
DF;BANGLADESH;Residente;279
DF;ALEMANHA;Residente;353
DF;JAPÃO;Residente;490
DF;AUSTRIA;Temporário;1
DF;VENEZUELA;Provisório;229
DF;ANGOLA;Residente;105
DF;ESPANHA;Residente;496
DF;GANA;Provisório;123
DF;ISRAEL;Residente;46
DF;FILIPINAS;Residente;93
DF;GANA;Residente;321
DF;BÉLGICA;Residente;76
DF;ROMÊNIA;Residente;24
DF;INDIA;Provisório;13
DF;HAITI;Temporário;89
DF;AFEGANISTÃO;Residente;48
DF;TURQUIA;Residente;46
DF;PORTUGAL;Temporário;40
DF;LÍBIA;Residente;126
DF;PARAGUAI;Residente;263
DF;CABO VERDE;Provisório;1
DF;PERU;Temporário;178
DF;INDIA;Residente;85
DF;CANADÁ;Residente;174
DF;PAÍSES BAIXOS;Residente;171
DF;GABÃO;Temporário;11
DF;SUÍCA;Residente;98
DF;POLÔNIA;Residente;85
DF;IRÃ;Temporário;11
DF;BENIN;Residente;17
DF;HONG-KONG (R.A.E.);Residente;4
DF;GUINÉ BISSAU;Residente;61
DF;MAURITÂNIA;Provisório;8
DF;RÚSSIA;Residente;100
DF;GABÃO;Residente;16
DF;URUGUAI;Residente;236
DF;UCRÂNIA;Residente;69
DF;EQUADOR;Temporário;49
DF;CORÉIA DO SUL;Residente;135
DF;EQUADOR;Residente;145
DF;ESPANHA;Provisório;5
DF;SANTA LÚCIA;Residente;1
DF;INDIA;Temporário;26
DF;EL SALVADOR;Residente;38
DF;MARROCOS;Provisório;21
DF;COSTA DO MARFIM;Temporário;6
DF;SUDÃO;Residente;31
DF;TURQUIA;Temporário;50
DF;HAITI;Provisório;22
DF;CHILE;Temporário;43
DF;PAQUISTÃO;Provisório;56
DF;REINO UNIDO;Residente;275
DF;LITUÂNIA;Residente;6
DF;REPÚBLICA DEMOCRÁTICA DO CONGO;Residente;30
DF;BENIN;Provisório;6
DF;POLÔNIA;Temporário;2
DF;CABO VERDE;Residente;20
DF;CABO VERDE;Temporário;4
DF;CONGO;Residente;31
DF;AUSTRIA;Residente;47
DF;REINO UNIDO;Temporário;27
DF;TURQUIA;Provisório;8
DF;AUSTRÁLIA;Residente;70
DF;FILIPINAS;Provisório;34
DF;NOVA ZELÂNDIA;Residente;31
DF;TUNÍSIA;Residente;22
DF;MARROCOS;Temporário;1
DF;IRLANDA;Residente;43
DF;CAMARÕES;Provisório;6
DF;IRAQUE;Residente;26
DF;PALESTINA;Residente;73
DF;GUINÉ BISSAU;Temporário;28
DF;AFRICA DO SUL;Temporário;6
DF;NICARÁGUA;Residente;22
DF;DINAMARCA;Residente;28
DF;BULGÁRIA;Residente;11
DF;CUBA;Temporário;27
DF;PANAMÁ;Residente;21
DF;FILIPINAS;Temporário;34
DF;CHINA;Temporário;30
DF;EGITO;Residente;66
DF;MÉXICO;Provisório;8
DF;HUNGRIA;Residente;19
DF;FINLÂNDIA;Residente;14
DF;GUINÉ BISSAU;Provisório;4
DF;ITÁLIA;Temporário;24
DF;ESTADOS UNIDOS;Provisório;1
DF;REP. DOMINICANA;Residente;28
DF;QUÊNIA;Residente;8
DF;CAMARÕES;Temporário;7
DF;MOÇAMBIQUE;Residente;42
DF;QUÊNIA;Temporário;7
DF;MOÇAMBIQUE;Temporário;49
DF;GUATEMALA;Residente;21
DF;NIGÉRIA;Provisório;13
DF;CONGO;Temporário;13
DF;ANGOLA;Provisório;7
DF;ANGOLA;Temporário;52
DF;REPÚBLICA DEMOCRÁTICA DO CONGO;Provisório;19
DF;TCHECOSLOVAQUIA;Residente;3
DF;ARÁBIA SAUDITA;Residente;5
DF;SUÉCIA;Residente;43
DF;AFRICA DO SUL;Residente;28
DF;BAREINE;Provisório;1
DF;ESPANHA;Temporário;12
DF;GÂMBIA;Residente;3
DF;RÚSSIA;Temporário;16
DF;UCRÂNIA;Temporário;4
DF;HONDURAS;Temporário;6
DF;GUIANA FRANCESA;Residente;10
DF;COSTA DO MARFIM;Residente;31
DF;GUATEMALA;Temporário;6
DF;GANA;Temporário;11
DF;SÍRIA;Temporário;9
DF;ARGÉLIA;Residente;21
DF;APÁTRIDA;Residente;4
DF;MYANMAR;Residente;1
DF;MÉXICO;Temporário;29
DF;TOGO;Provisório;7
DF;REPÚBLICA DEMOCRÁTICA DO CONGO;Temporário;10
DF;NIGÉRIA;Temporário;19
DF;NORUEGA;Residente;27
DF;AFEGANISTÃO;Temporário;6
DF;COLÔMBIA;Provisório;33
DF;FRANÇA;Temporário;29
DF;PAQUISTÃO;Temporário;8
DF;PORTO RICO;Temporário;1
DF;MALÁSIA;Residente;10
DF;TRINIDAD E TOBAGO;Residente;7
DF;ESLOVÊNIA;Residente;9
DF;MAURITÂNIA;Residente;3
DF;SERVIA E MONTENEGRO;Residente;6
DF;SENEGAL;Temporário;7
DF;CORÉIA DO SUL;Temporário;6
DF;INDONÉSIA;Residente;16
DF;ISRAEL;Provisório;7
DF;CANADÁ;Temporário;10
DF;BANGLADESH;Temporário;15
DF;PALESTINA;Provisório;4
DF;GUIANA;Residente;8
DF;URUGUAI;Temporário;4
DF;EGITO;Provisório;5
DF;LUXEMBURGO;Residente;3
DF;RÚSSIA;Provisório;9
DF;GRÉCIA;Residente;52
DF;BURUNDI;Residente;1
DF;IRÃ;Provisório;5
DF;AFRICA DO SUL;Provisório;8
DF;ALEMANHA;Temporário;9
DF;BURKINA FASO;Residente;6
DF;SURINAME;Residente;4
DF;ALBÂNIA;Residente;2
DF;ESLOVÁQUIA;Residente;8
DF;EL SALVADOR;Temporário;2
DF;BELARUS;Residente;6
DF;NORUEGA;Temporário;1
DF;TADJIQUISTÃO;Residente;1
DF;LÍBIA;Provisório;2
DF;EQUADOR;Provisório;8
DF;GUINÉ;Residente;13
DF;BÉLGICA;Temporário;2
DF;NEPAL;Residente;7
DF;SURINAME;Temporário;2
DF;DINAMARCA;Temporário;7
DF;BENIN;Temporário;17
DF;ETIÓPIA;Temporário;2
DF;DOMINICA;Residente;3
DF;SRI LANKA;Residente;3
DF;SÍRIA;Provisório;15
DF;CAZAQUISTÃO;Residente;8
DF;UGANDA;Residente;6
DF;REP. DOMINICANA;Temporário;3
DF;MALI;Provisório;1
DF;GUINÉ;Provisório;2
DF;TANZÂNIA;Residente;4
DF;TOGO;Temporário;2
DF;SENEGAL;Provisório;3
DF;FRANÇA;Provisório;3
DF;MAURÍCIO;Residente;2
DF;COSTA DO MARFIM;Provisório;3
DF;TAILÂNDIA;Residente;7
DF;REPÚBLICA TCHECA;Residente;13
DF;JAMAICA;Residente;3
DF;TANZÂNIA;Temporário;1
DF;JAPÃO;Temporário;7
DF;PAÍSES BAIXOS;Provisório;3
DF;LETÔNIA;Residente;4
DF;SAO TOMÉ E PRÍNCIPE;Residente;5
DF;PAÍSES BAIXOS;Temporário;1
DF;BURUNDI;Temporário;1
DF;BARBADOS;Temporário;1
DF;COSTA RICA;Temporário;3
DF;NAMÍBIA;Residente;1
DF;TANZÂNIA;Provisório;1
DF;JORDÂNIA;Provisório;2
DF;ZIMBÁBUE;Residente;3
DF;AUSTRÁLIA;Temporário;1
DF;BÓSNIA-HERZEGOVINA;Residente;2
DF;MALI;Residente;4
DF;SERRA LEOA;Provisório;1
DF;SÉRVIA;Residente;10
DF;VIETINA;Temporário;2
DF;eritréia;Residente;1
DF;CROÁCIA;Residente;4
DF;REP. DOMINICANA;Provisório;4
DF;NOVA ZELÂNDIA;Temporário;5
DF;VIETINA;Residente;8
DF;ZÂMBIA;Residente;1
DF;CORÉIA DO SUL;Provisório;1
DF;SUÍCA;Temporário;2
DF;CROÁCIA;Temporário;1
DF;AZERBAIJÃO;Residente;1
DF;CONGO;Provisório;3
DF;BURKINA FASO;Provisório;1
DF;BOTSUANA;Residente;2
DF;ITÁLIA;Provisório;1
DF;REP. CENTRO AFRICANA;Residente;2
DF;TUNÍSIA;Provisório;3
DF;EMIRADOS ÁRABES;Residente;2
DF;BURUNDI;Provisório;1
DF;NICARÁGUA;Temporário;1
DF;IÊMEN;Residente;2
DF;MACEDÔNIA;Temporário;1
DF;ESTÔNIA;Residente;2
DF;SAO TOMÉ E PRÍNCIPE;Temporário;1
DF;HUNGRIA;Temporário;1
DF;RUANDA;Residente;1
DF;UGANDA;Provisório;1
DF;ARGÉLIA;Temporário;3
DF;REINO UNIDO;Provisório;1
DF;MONGÓLIA;Residente;1
DF;SERRA LEOA;Residente;1
DF;GUIANA;Temporário;3
DF;MACEDÔNIA;Residente;1
DF;SURINAME;Provisório;1
DF;JAMAICA;Temporário;2
DF;NÍGER;Provisório;1
DF;MOLDOVA;Residente;3
DF;REP. MONTENEGRO;Residente;1
DF;ARMÊNIA;Residente;3
DF;INDONÉSIA;Temporário;1
DF;GABÃO;Provisório;1
DF;SOMÁLIA;Provisório;2
DF;AFEGANISTÃO;Provisório;1
DF;GUINÉ EQUATORIAL;Temporário;4
DF;MADAGASCAR;Temporário;1
DF;CAZAQUISTÃO;Provisório;1
DF;UCRÂNIA;Provisório;1
DF;TRINIDAD E TOBAGO;Provisório;1
DF;LITUÂNIA;Temporário;1
DF;QUÊNIA;Provisório;6
DF;BAHAMA,IS;Residente;1
DF;BOTSUANA;Provisório;1
DF;BARBADOS;Provisório;1
DF;UZBEQUISTÃO;Residente;1
DF;SUÉCIA;Provisório;1
DF;PANAMÁ;Temporário;1
DF;CINGAPURA;Residente;1
DF;COSTA RICA;Provisório;1
DF;ROMÊNIA;Temporário;1
DF;NICARÁGUA;Provisório;1
DF;REPÚBLICA TCHECA;Temporário;1
DF;ISLÂNDIA;Residente;1
DF;SUDÃO;Temporário;1
